pid1,pid2,uid1,uid2,label,path1,path2
43096,60809,951,951,1,data\dev\43096,data\dev\60809
81999,22060,819,819,1,data\dev\81999,data\dev\22060
5630,96291,257,257,1,data\dev\5630,data\dev\96291
94823,72513,331,331,1,data\dev\94823,data\dev\72513
55018,10676,103,103,1,data\dev\55018,data\dev\10676
77240,47213,756,756,1,data\dev\77240,data\dev\47213
17482,29841,531,531,1,data\dev\17482,data\dev\29841
97218,86563,450,450,1,data\dev\97218,data\dev\86563
12441,26600,581,581,1,data\dev\12441,data\dev\26600
74330,43763,999,999,1,data\dev\74330,data\dev\43763
90650,82536,299,299,1,data\dev\90650,data\dev\82536
55935,52465,18,18,1,data\dev\55935,data\dev\52465
37014,28375,197,485,0,data\dev\37014,data\dev\28375
13833,62662,928,928,1,data\dev\13833,data\dev\62662
3875,36113,292,292,1,data\dev\3875,data\dev\36113
14010,36042,432,694,0,data\dev\14010,data\dev\36042
24404,52494,287,590,0,data\dev\24404,data\dev\52494
62397,39199,170,520,0,data\dev\62397,data\dev\39199
66793,38121,564,564,1,data\dev\66793,data\dev\38121
39543,97027,112,112,1,data\dev\39543,data\dev\97027
33649,53416,906,701,0,data\dev\33649,data\dev\53416
62760,78077,834,41,0,data\dev\62760,data\dev\78077
53046,23645,776,216,0,data\dev\53046,data\dev\23645
58423,92521,813,813,1,data\dev\58423,data\dev\92521
51507,46420,457,118,0,data\dev\51507,data\dev\46420
12502,62076,326,947,0,data\dev\12502,data\dev\62076
94926,51070,521,418,0,data\dev\94926,data\dev\51070
48123,72530,542,428,0,data\dev\48123,data\dev\72530
33946,29114,655,655,1,data\dev\33946,data\dev\29114
52102,68399,563,863,0,data\dev\52102,data\dev\68399
33931,53604,222,476,0,data\dev\33931,data\dev\53604
94599,90883,947,947,1,data\dev\94599,data\dev\90883
54166,55925,393,660,0,data\dev\54166,data\dev\55925
37274,39626,637,637,1,data\dev\37274,data\dev\39626
18600,78603,255,359,0,data\dev\18600,data\dev\78603
61065,83966,162,763,0,data\dev\61065,data\dev\83966
91600,51407,284,284,1,data\dev\91600,data\dev\51407
6125,99380,178,963,0,data\dev\6125,data\dev\99380
80373,96898,151,151,1,data\dev\80373,data\dev\96898
92511,43614,774,396,0,data\dev\92511,data\dev\43614
57081,85021,573,595,0,data\dev\57081,data\dev\85021
70891,96575,787,204,0,data\dev\70891,data\dev\96575
48844,30156,80,80,1,data\dev\48844,data\dev\30156
8386,13143,552,552,1,data\dev\8386,data\dev\13143
77864,3812,42,728,0,data\dev\77864,data\dev\3812
70011,86065,268,718,0,data\dev\70011,data\dev\86065
55377,6791,570,900,0,data\dev\55377,data\dev\6791
18936,74294,735,954,0,data\dev\18936,data\dev\74294
26512,88479,311,329,0,data\dev\26512,data\dev\88479
30588,97180,584,847,0,data\dev\30588,data\dev\97180
67953,30066,601,352,0,data\dev\67953,data\dev\30066
17033,48233,176,526,0,data\dev\17033,data\dev\48233
6882,56641,422,395,0,data\dev\6882,data\dev\56641
26134,86615,309,309,1,data\dev\26134,data\dev\86615
59662,54106,943,943,1,data\dev\59662,data\dev\54106
78623,14115,463,304,0,data\dev\78623,data\dev\14115
5895,1306,348,348,1,data\dev\5895,data\dev\1306
77440,40330,451,451,1,data\dev\77440,data\dev\40330
58119,96527,11,11,1,data\dev\58119,data\dev\96527
59167,5786,884,533,0,data\dev\59167,data\dev\5786
38657,60284,824,124,0,data\dev\38657,data\dev\60284
62784,79920,97,97,1,data\dev\62784,data\dev\79920
92013,21748,812,812,1,data\dev\92013,data\dev\21748
1035,76771,920,920,1,data\dev\1035,data\dev\76771
91661,91912,77,848,0,data\dev\91661,data\dev\91912
37162,61861,34,997,0,data\dev\37162,data\dev\61861
19003,68079,711,711,1,data\dev\19003,data\dev\68079
498,48842,383,383,1,data\dev\498,data\dev\48842
48706,58683,381,316,0,data\dev\48706,data\dev\58683
38431,5711,660,343,0,data\dev\38431,data\dev\5711
14160,853,234,808,0,data\dev\14160,data\dev\853
83911,88276,98,98,1,data\dev\83911,data\dev\88276
56204,21032,386,386,1,data\dev\56204,data\dev\21032
48265,63660,681,681,1,data\dev\48265,data\dev\63660
40535,4589,629,704,0,data\dev\40535,data\dev\4589
62624,85786,760,760,1,data\dev\62624,data\dev\85786
4713,3305,496,888,0,data\dev\4713,data\dev\3305
81402,33752,217,912,0,data\dev\81402,data\dev\33752
77972,84130,945,983,0,data\dev\77972,data\dev\84130
11815,84663,354,809,0,data\dev\11815,data\dev\84663
20279,88562,658,658,1,data\dev\20279,data\dev\88562
24693,87589,69,69,1,data\dev\24693,data\dev\87589
94984,64233,437,863,0,data\dev\94984,data\dev\64233
67616,72884,993,247,0,data\dev\67616,data\dev\72884
85986,58132,443,443,1,data\dev\85986,data\dev\58132
12492,84983,914,909,0,data\dev\12492,data\dev\84983
4493,54395,615,615,1,data\dev\4493,data\dev\54395
60846,7790,836,894,0,data\dev\60846,data\dev\7790
26513,98554,589,575,0,data\dev\26513,data\dev\98554
23996,46892,755,400,0,data\dev\23996,data\dev\46892
54493,42734,50,50,1,data\dev\54493,data\dev\42734
294,39665,31,732,0,data\dev\294,data\dev\39665
67561,3210,362,144,0,data\dev\67561,data\dev\3210
78734,38598,369,369,1,data\dev\78734,data\dev\38598
71129,4563,619,303,0,data\dev\71129,data\dev\4563
54517,17811,223,223,1,data\dev\54517,data\dev\17811
5903,61332,500,500,1,data\dev\5903,data\dev\61332
67649,68266,217,217,1,data\dev\67649,data\dev\68266
26405,16773,720,720,1,data\dev\26405,data\dev\16773
2491,68364,129,129,1,data\dev\2491,data\dev\68364
41665,91843,819,456,0,data\dev\41665,data\dev\91843
38777,75606,405,405,1,data\dev\38777,data\dev\75606
48472,28530,243,266,0,data\dev\48472,data\dev\28530
69799,20089,818,818,1,data\dev\69799,data\dev\20089
70995,48456,904,502,0,data\dev\70995,data\dev\48456
55257,71374,170,457,0,data\dev\55257,data\dev\71374
21431,32657,875,867,0,data\dev\21431,data\dev\32657
32484,12828,972,115,0,data\dev\32484,data\dev\12828
75038,2288,783,325,0,data\dev\75038,data\dev\2288
4143,69444,203,429,0,data\dev\4143,data\dev\69444
71957,51961,598,365,0,data\dev\71957,data\dev\51961
6740,2903,854,854,1,data\dev\6740,data\dev\2903
3806,93821,980,557,0,data\dev\3806,data\dev\93821
54287,70089,464,246,0,data\dev\54287,data\dev\70089
46278,5170,220,220,1,data\dev\46278,data\dev\5170
6552,43897,101,101,1,data\dev\6552,data\dev\43897
42972,6780,454,454,1,data\dev\42972,data\dev\6780
66597,33065,558,558,1,data\dev\66597,data\dev\33065
32136,17218,567,567,1,data\dev\32136,data\dev\17218
2171,11847,45,45,1,data\dev\2171,data\dev\11847
9583,84646,695,695,1,data\dev\9583,data\dev\84646
68177,12903,928,409,0,data\dev\68177,data\dev\12903
70139,57523,385,385,1,data\dev\70139,data\dev\57523
61716,90937,282,282,1,data\dev\61716,data\dev\90937
64601,11361,378,378,1,data\dev\64601,data\dev\11361
90381,60784,625,496,0,data\dev\90381,data\dev\60784
94722,64143,843,436,0,data\dev\94722,data\dev\64143
11392,4679,609,609,1,data\dev\11392,data\dev\4679
69528,69491,40,40,1,data\dev\69528,data\dev\69491
1453,67886,837,301,0,data\dev\1453,data\dev\67886
28978,81092,591,591,1,data\dev\28978,data\dev\81092
57275,15063,548,89,0,data\dev\57275,data\dev\15063
28443,60042,672,672,1,data\dev\28443,data\dev\60042
90670,26267,132,154,0,data\dev\90670,data\dev\26267
3764,70930,937,937,1,data\dev\3764,data\dev\70930
85192,4869,300,487,0,data\dev\85192,data\dev\4869
17150,16246,81,81,1,data\dev\17150,data\dev\16246
26782,99399,854,854,1,data\dev\26782,data\dev\99399
30707,8038,162,455,0,data\dev\30707,data\dev\8038
30952,72437,755,836,0,data\dev\30952,data\dev\72437
40230,88701,612,612,1,data\dev\40230,data\dev\88701
391,59982,707,639,0,data\dev\391,data\dev\59982
76003,78644,162,162,1,data\dev\76003,data\dev\78644
63806,7949,710,710,1,data\dev\63806,data\dev\7949
87839,94097,182,182,1,data\dev\87839,data\dev\94097
27864,59960,565,545,0,data\dev\27864,data\dev\59960
86302,85856,985,985,1,data\dev\86302,data\dev\85856
7183,74437,595,595,1,data\dev\7183,data\dev\74437
49910,61367,544,544,1,data\dev\49910,data\dev\61367
55396,60718,514,147,0,data\dev\55396,data\dev\60718
35989,4811,159,159,1,data\dev\35989,data\dev\4811
54720,63747,918,7,0,data\dev\54720,data\dev\63747
4267,90484,296,636,0,data\dev\4267,data\dev\90484
54872,16372,204,823,0,data\dev\54872,data\dev\16372
38121,15964,564,829,0,data\dev\38121,data\dev\15964
66528,6975,600,105,0,data\dev\66528,data\dev\6975
93440,23867,878,878,1,data\dev\93440,data\dev\23867
84009,520,461,461,1,data\dev\84009,data\dev\520
41156,78868,90,90,1,data\dev\41156,data\dev\78868
38867,13143,552,552,1,data\dev\38867,data\dev\13143
85530,68715,149,411,0,data\dev\85530,data\dev\68715
48693,62915,591,591,1,data\dev\48693,data\dev\62915
63827,37337,886,886,1,data\dev\63827,data\dev\37337
66770,16012,289,712,0,data\dev\66770,data\dev\16012
32076,72413,983,187,0,data\dev\32076,data\dev\72413
36308,48134,750,949,0,data\dev\36308,data\dev\48134
59501,77868,831,831,1,data\dev\59501,data\dev\77868
75173,43203,237,237,1,data\dev\75173,data\dev\43203
22877,279,676,776,0,data\dev\22877,data\dev\279
75946,32620,286,286,1,data\dev\75946,data\dev\32620
78518,75270,772,772,1,data\dev\78518,data\dev\75270
97642,59462,712,114,0,data\dev\97642,data\dev\59462
93083,52863,189,94,0,data\dev\93083,data\dev\52863
27101,47802,40,722,0,data\dev\27101,data\dev\47802
15615,84665,41,392,0,data\dev\15615,data\dev\84665
9865,91517,185,733,0,data\dev\9865,data\dev\91517
14422,7079,144,289,0,data\dev\14422,data\dev\7079
88833,46830,474,810,0,data\dev\88833,data\dev\46830
94604,98207,616,942,0,data\dev\94604,data\dev\98207
70059,51016,453,453,1,data\dev\70059,data\dev\51016
68987,60034,698,698,1,data\dev\68987,data\dev\60034
90513,41473,464,464,1,data\dev\90513,data\dev\41473
2950,24783,592,592,1,data\dev\2950,data\dev\24783
75272,55266,651,651,1,data\dev\75272,data\dev\55266
25757,16056,907,907,1,data\dev\25757,data\dev\16056
13470,15513,137,137,1,data\dev\13470,data\dev\15513
62476,16226,103,103,1,data\dev\62476,data\dev\16226
15407,85268,480,244,0,data\dev\15407,data\dev\85268
35182,42304,150,934,0,data\dev\35182,data\dev\42304
73398,52752,476,476,1,data\dev\73398,data\dev\52752
59891,78633,291,291,1,data\dev\59891,data\dev\78633
8502,52539,530,530,1,data\dev\8502,data\dev\52539
63506,70043,539,539,1,data\dev\63506,data\dev\70043
37792,67030,758,758,1,data\dev\37792,data\dev\67030
23297,1545,318,583,0,data\dev\23297,data\dev\1545
75518,84258,672,375,0,data\dev\75518,data\dev\84258
51485,68254,808,808,1,data\dev\51485,data\dev\68254
74057,92785,838,838,1,data\dev\74057,data\dev\92785
90513,54287,464,464,1,data\dev\90513,data\dev\54287
99971,79246,691,691,1,data\dev\99971,data\dev\79246
67171,9171,339,339,1,data\dev\67171,data\dev\9171
84394,4286,913,913,1,data\dev\84394,data\dev\4286
30144,61870,986,154,0,data\dev\30144,data\dev\61870
22831,17474,498,462,0,data\dev\22831,data\dev\17474
29342,52661,78,862,0,data\dev\29342,data\dev\52661
15315,3764,164,937,0,data\dev\15315,data\dev\3764
54773,85095,601,179,0,data\dev\54773,data\dev\85095
67610,22858,358,556,0,data\dev\67610,data\dev\22858
31570,96012,610,610,1,data\dev\31570,data\dev\96012
96598,37580,406,823,0,data\dev\96598,data\dev\37580
73547,55919,373,373,1,data\dev\73547,data\dev\55919
61166,95835,26,26,1,data\dev\61166,data\dev\95835
82515,94393,150,822,0,data\dev\82515,data\dev\94393
64212,5230,271,422,0,data\dev\64212,data\dev\5230
69781,97499,9,9,1,data\dev\69781,data\dev\97499
68835,13337,225,505,0,data\dev\68835,data\dev\13337
4737,16567,340,340,1,data\dev\4737,data\dev\16567
49600,7614,689,689,1,data\dev\49600,data\dev\7614
7851,97239,327,327,1,data\dev\7851,data\dev\97239
37526,37593,170,170,1,data\dev\37526,data\dev\37593
50545,47273,229,229,1,data\dev\50545,data\dev\47273
49734,60264,292,421,0,data\dev\49734,data\dev\60264
78319,68800,296,296,1,data\dev\78319,data\dev\68800
75895,68225,125,125,1,data\dev\75895,data\dev\68225
65540,5249,433,669,0,data\dev\65540,data\dev\5249
92029,94610,307,307,1,data\dev\92029,data\dev\94610
92282,78531,966,726,0,data\dev\92282,data\dev\78531
7649,28638,555,982,0,data\dev\7649,data\dev\28638
79570,20629,97,99,0,data\dev\79570,data\dev\20629
43751,45570,476,476,1,data\dev\43751,data\dev\45570
33330,83174,367,367,1,data\dev\33330,data\dev\83174
85030,11076,553,553,1,data\dev\85030,data\dev\11076
95673,78682,202,202,1,data\dev\95673,data\dev\78682
36652,24751,750,750,1,data\dev\36652,data\dev\24751
65729,90355,436,883,0,data\dev\65729,data\dev\90355
50889,72344,292,810,0,data\dev\50889,data\dev\72344
41539,98098,345,592,0,data\dev\41539,data\dev\98098
12083,15976,360,360,1,data\dev\12083,data\dev\15976
19916,88803,91,938,0,data\dev\19916,data\dev\88803
24273,79993,37,330,0,data\dev\24273,data\dev\79993
96304,78830,289,289,1,data\dev\96304,data\dev\78830
59872,18770,363,918,0,data\dev\59872,data\dev\18770
89424,1117,480,254,0,data\dev\89424,data\dev\1117
51706,44363,771,366,0,data\dev\51706,data\dev\44363
65419,5776,408,408,1,data\dev\65419,data\dev\5776
11295,87469,577,150,0,data\dev\11295,data\dev\87469
